Description
Anza St. & 43rd Ave.
Anza St. & 37th Ave.
Clement St. & 44th Ave.
Anza St. & 30th Ave.
Geary Blvd. & 21st Ave.
Geary Blvd. & Funston Ave.
Arguello St. & Edward St.
Euclid Ave. & Collins St.
Divisadero St. & Pacific Ave.
Broderick St. & Bay St.
Ashbury St. & Waller St.
Irving St. & 12th Ave.
24th Ave. & Judah St.
45th Ave. & Kirkham St.
41st Ave. & Pacheco St.
24th Ave. & Pacheco St.
Quintara St. & Cragmont Ave.
Christopher Dr. & Clarendon Ave.
Douglas St. & 24th St.
Taraval St. & 44th Ave.
Ulloa St. & 25th Ave.
Portola Dr. & Marne Ave.
Lakeshore Plaza & Ocean Ave.
Ocean Ave. & San Fernando Way
Ridgewood Ave. & Flood Ave.
Ocean Ave. & San Jose Ave.
Plymouth Ave. & Minerva St.
Alemany Blvd. & St. Charles Ave.
Jackson St. & Gough St.
Buchanan St. & Chestnut St.
Hyde St. & Greenwich St.
Taylor St. & Columbus Ave.
Kearny St. & California St.
Union St. & Columbus Ave.
Broadway & Davis St.
Bay St. & The Embarcadero
McAllister St. & Fillmore St.
Bush St. & Octavia St.
Ellis St. & Leavenworth St.
Grove St. & Polk St.
Market St. & 4th St.
1st St. & Folsom St.
6th St. & Harrison St.
3rd St. & King St.
Castro St. & States St.
Bryant St. & 16th St.
Mississippi St. & Mariposa St.
3rd St. & 16th St.
Liberty St. & Church St.
20th St. & Dolores St.
23rd St. & Treat Ave.
Pennsyvania Ave. & 25th St.
Precita Ave. & Folsom St.
Castro St. & 30th St.
Mission St. & Richland Ave
Industrial St. & Revere Ave.
3rd St. & Jerrold Ave.
Mission St. & Castle Manor Ave.
Brazil Ave. & Pr St.
Mansell St. & Dartmouth St.
3rd St. & Carroll Ave.
Ingalls St. & Quesada Ave.
Innes Ave. & Earl St.
Geneva Ave. & Moscow St.
Sunnydale Ave. & Hahn St.
Blanken Ave. & Tunnel Ave.
Jamestown Ave. & Harney Way
