Description,lat,lng,ele
Anza St. & 43rd Ave.,37.7773134,-122.5038924,57.2373313904
Anza St. & 37th Ave.,37.7775789,-122.497455,62.1509552002
Clement St. & 44th Ave.,37.7810761,-122.505238,88.2617111206
Anza St. & 30th Ave.,37.7779225,-122.4899515,84.1246948242
Geary Blvd. & 21st Ave.,37.7802286,-122.4804331,40.9879798889
Geary Blvd. & Funston Ave.,37.7806122,-122.4717844,52.4573135376
Arguello St. & Edward St.,37.7780036,-122.4586255,64.9276428223
Euclid Ave. & Collins St.,37.7844892,-122.450132,96.2707443237
Divisadero St. & Pacific Ave.,37.7925208,-122.4413036,106.421257019
Broderick St. & Bay St.,37.801634,-122.4448795,9.66157817841
Ashbury St. & Waller St.,37.7690809,-122.4467523,92.2607879639
Irving St. & 12th Ave.,37.7638988,-122.4695341,73.1858673096
24th Ave. & Judah St.,37.7614625,-122.4823767,65.2376708984
45th Ave. & Kirkham St.,37.7586132,-122.5047284,18.4447116852
41st Ave. & Pacheco St.,37.749472,-122.499784,31.8958282471
24th Ave. & Pacheco St.,37.7502732,-122.4815812,130.247299194
Quintara St. & Cragmont Ave.,37.7490303,-122.4673778,222.463150024
Christopher Dr. & Clarendon Ave.,37.7569219,-122.454153,206.861373901
Douglas St. & 24th St.,37.7510304,-122.4384811,86.6530227661
Taraval St. & 44th Ave.,37.7418705,-122.50248,29.7657432556
Ulloa St. & 25th Ave.,37.7409016,-122.48197,74.1008529663
Portola Dr. & Marne Ave.,37.7407224,-122.4580986,151.203155518
Lakeshore Plaza & Ocean Ave.,37.7318846,-122.4943116,25.1721534729
Ocean Ave. & San Fernando Way,37.7267843,-122.4660712,83.3619613647
Ridgewood Ave. & Flood Ave.,37.729842,-122.4534048,111.067619324
Ocean Ave. & San Jose Ave.,37.7267843,-122.4660712,83.3619613647
Plymouth Ave. & Minerva St.,37.7157319,-122.45609,117.702651978
Alemany Blvd. & St. Charles Ave.,37.7102019,-122.4575107,94.4023590088
Jackson St. & Gough St.,37.7935237,-122.4263689,75.9452133179
Buchanan St. & Chestnut St.,37.8012446,-122.4329871,16.8975124359
Hyde St. & Greenwich St.,37.8010763,-122.4194825,89.9963378906
Taylor St. & Columbus Ave.,37.8034462,-122.4147561,8.3124294281
Kearny St. & California St.,37.7926884,-122.4044386,13.789188385
Union St. & Columbus Ave.,37.8003531,-122.410171,23.8791637421
Broadway & Davis St.,37.7988951,-122.398726,2.51134181023
Bay St. & The Embarcadero,37.8039393,-122.4268958,22.5807666779
McAllister St. & Fillmore St.,37.7786371,-122.4317791,37.7936477661
Bush St. & Octavia St.,37.7878745,-122.4269131,69.9527130127
Ellis St. & Leavenworth St.,37.7846631,-122.4144723,24.2412948608
Grove St. & Polk St.,37.7784944,-122.4182568,18.0075893402
Market St. & 4th St.,37.7857158,-122.4059115,11.8008413315
1st St. & Folsom St.,37.7873347,-122.3945241,12.2275714874
6th St. & Harrison St.,37.7772879,-122.4040802,3.4197974205
3rd St. & King St.,37.7781866,-122.3919251,4.18576478958
Castro St. & States St.,37.7634671,-122.435231,48.1077957153
Bryant St. & 16th St.,37.765618,-122.4105284,14.1276264191
Mississippi St. & Mariposa St.,37.7639851,-122.3947327,12.7235622406
3rd St. & 16th St.,37.766873,-122.3892056,3.84536623955
Liberty St. & Church St.,37.7573342,-122.4279851,51.2040977478
20th St. & Dolores St.,37.7582274,-122.4257136,29.9906845093
23rd St. & Treat Ave.,37.75417,-122.4131527,14.9769697189
Pennsyvania Ave. & 25th St.,37.7525507,-122.3926594,18.6564025879
Precita Ave. & Folsom St.,37.747189,-122.4135711,28.0611038208
Castro St. & 30th St.,37.741922,-122.4332494,93.4437408447
Mission St. & Richland Ave,37.7359398,-122.4245024,72.3882141113
Industrial St. & Revere Ave.,37.7390178,-122.4030866,5.45078754425
3rd St. & Jerrold Ave.,37.7387075,-122.3892403,8.44765853882
Mission St. & Castle Manor Ave.,37.7292307,-122.4308447,49.7653846741
Brazil Ave. & Pr St.,37.7749295,-122.4194155,15.5578193665
Mansell St. & Dartmouth St.,37.7195886,-122.4090171,115.497436523
3rd St. & Carroll Ave.,37.7254478,-122.3941767,6.57596254349
Ingalls St. & Quesada Ave.,37.729112,-122.383994,14.7845554352
Innes Ave. & Earl St.,37.7298728,-122.3719677,19.1421966553
Geneva Ave. & Moscow St.,37.7131844,-122.4337038,80.2819519043
Sunnydale Ave. & Hahn St.,37.7119187,-122.4160184,27.7916698456
Blanken Ave. & Tunnel Ave.,37.712024,-122.4007935,18.3222503662
Jamestown Ave. & Harney Way,37.7111046,-122.386381,8.31673908234
